id,"description","category",day_of_week,day_of_month,month,year,amount,"currency_code","mode",account_id,"hashed_user_id",recurrent_bill
3965,"OBICALONDON E14)))","cafes_and_restaurants",1,6,2,2017,-11.63,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3966,"TESCO STORES 6109GREENFORDVIS","groceries",1,6,2,2017,-65.43,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3967,"OBICALONDON E14VIS","cafes_and_restaurants",1,6,2,2017,-28.97,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3968,"Non-SterlingTransaction FeeDR","provider_fee",1,6,2,2017,-0.54,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3969,"INT'L 0038519905AMAZON DE RETAIL AAMAZON.DEEUR 22.90 @ 1.1565Visa RateVIS","shopping",1,6,2,2017,-19.8,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3970,"VENCHI UKLONDON SW7)))","uncategorized",1,6,2,2017,-4.5,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3971,"GIANLUCA'SLONDON)))","shopping",1,6,2,2017,-10.85,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3972,"VICTORIA FOOD WINELONDON WC1X)))","cafes_and_restaurants",1,6,2,2017,-5.4,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3973,"LE PAIN QUOTIDIENLONDON SW7)))","cafes_and_restaurants",1,6,2,2017,-1.95,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3974,"TESCO STORESLONDON)))","groceries",1,6,2,2017,-6.1,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3975,"TESCO STORESLONDON)))","groceries",1,6,2,2017,-11.1,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3976,"PAUL UK SOUTH KENSLONDON)))","cafes_and_restaurants",1,6,2,2017,-7.65,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3977,"MARLER & MARLERRAHN / STRUB RENTBP","uncategorized",3,1,2,2017,-3050,"GBP","normal",418333,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3978,"400410 91790366INTERNET TRANSFERTFR","transfer",3,1,2,2017,1537,"GBP","normal",418333,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3979,"TFL.GOV.UK/CPTFL TRAVEL CH)))","public_transportation",1,6,2,2017,-2.4,"GBP","normal",418333,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3980,"THE OYSTER SHEDLONDON)))","education",1,6,2,2017,-15.4,"GBP","normal",418333,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3981,"FANTASTIC SERVICES442034045679VIS","food_and_dining",1,6,2,2017,-38.5,"GBP","normal",418333,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3982,"TFL.GOV.UK/CPTFL TRAVEL CH)))","public_transportation",1,6,2,2017,-2.4,"GBP","normal",418333,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3983,"OREELONDON SW10)))","cafes_and_restaurants",1,6,2,2017,-9.5,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3984,"ANDREW EDMUNDSLONDONVIS","cafes_and_restaurants",1,6,2,2017,-75.38,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3985,"CAROUSELLONDONVIS","toys",1,6,2,2017,-106.69,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3986,"MARKS&SPENCER PLCCANARY WHARF)))","shopping",2,7,2,2017,-16.35,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3987,"MARKS&SPENCER PLCCANARY WHARF)))","shopping",2,7,2,2017,-22.35,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3988,"PAUL UKLONDON)))","cafes_and_restaurants",2,7,2,2017,-3.3,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3989,"MORGAN STANLEYCANARY WHARFVIS","education",2,7,2,2017,-50,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3990,"LONDON BRIDGE27 TOOLEY STRVIS","taxi",2,7,2,2017,-100,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3991,"ITSU 005 JUBILEE PLONDON E14)))","parking",3,8,2,2017,-9.71,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3992,"MARKS&SPENCER PLCCANARY WHARF)))","shopping",3,8,2,2017,-17.65,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3993,"ODEON/BOOKITLEICESTER SQVIS","movies_and_music",3,8,2,2017,-84,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3994,"H3GDD","home_improvement",3,8,2,2017,-17.04,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",1
3995,"ITSU 005 JUBILEE PLONDON E14)))","parking",4,9,2,2017,-5.48,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3996,"PAUL UKLONDONVIS","cafes_and_restaurants",4,9,2,2017,-47.55,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3997,"MORGAN STANLEYCANARY WHARFVIS","education",5,10,2,2017,-50,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3998,"MARKS&SPENCER PLCCANARY WHARFVIS","shopping",5,10,2,2017,-30.39,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
3999,"SEAMLESS UK08082347862VIS","food_and_dining",5,10,2,2017,-2.5,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4000,"CASH NATWEST FEB11STH KENSINGT@12:41ATM","fees_and_charges",6,11,2,2017,-20,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4001,"VENCHI UKLONDON WC2)))","uncategorized",1,13,2,2017,-29.46,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4002,"OYSTER AUTOTOPUP0343 2221234VIS","service_and_parts",1,13,2,2017,-40,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4003,"THE IVY MARKET GRILONDONVIS","cafes_and_restaurants",1,13,2,2017,-66,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4004,"LE PAIN QUOTIDIENLONDON SW7)))","cafes_and_restaurants",1,13,2,2017,-3.9,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4005,"TESCO STORESLONDON)))","groceries",1,13,2,2017,-14.7,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4006,"PAUL UK SOUTH KENSLONDON)))","cafes_and_restaurants",1,13,2,2017,-8.4,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4007,"ITSU 005 JUBILEE PLONDON E14)))","parking",1,13,2,2017,-10.46,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4008,"MARKS&SPENCER PLCCANARY WHARF)))","shopping",1,13,2,2017,-17.8,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4009,"WRIGHT BROTHERS OYLONDONVIS","food_and_dining",1,13,2,2017,-23,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4010,"CARAFFINI LTD02072590235VIS","cafes_and_restaurants",1,13,2,2017,-89.15,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4011,"TESCO STORES 6109GREENFORDVIS","groceries",1,13,2,2017,-81.65,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4012,"ADVICE CONFIRMSGBC130270L42ROXSMORGAN STANLEY ANDCR","transfer",1,13,2,2017,10,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4013,"ITSU 005 JUBILEE PLONDON E14)))","parking",2,14,2,2017,-4.49,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4014,"MARKS&SPENCER PLCCANARY WHARF)))","shopping",2,14,2,2017,-11.5,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4015,"MORGAN STANLEYCANARY WHARFVIS","education",2,14,2,2017,-50,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4016,"CASITA ANDINA , SO02033 279464VIS","alcohol_and_bars",2,14,2,2017,-47,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4017,"MARKS&SPENCER PLCCANARY WHARF)))","shopping",3,15,2,2017,-19.27,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4018,"MARKS&SPENCER PLCCANARY WHARF)))","shopping",4,16,2,2017,-25.89,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4019,"LA POULE AU POTLONDONVIS","cafes_and_restaurants",4,16,2,2017,-159.31,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4020,"MORGAN STANLEYCANARY WHARFVIS","education",5,17,2,2017,-50,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4021,"MARKS&SPENCER PLCCANARY WHARFVIS","shopping",5,17,2,2017,-15.65,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4022,"Jakob LievenseCharlotte - BodosBP","uncategorized",5,17,2,2017,-34,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4023,"VENCHI UKLONDON SW7)))","uncategorized",1,20,2,2017,-4.7,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4024,"PAUL UK SOUTH KENSLONDON)))","cafes_and_restaurants",1,20,2,2017,-3.3,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4025,"BROMPTON FOOD MARKLONDON SW7 2H)))","groceries",1,20,2,2017,-25.88,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4026,"LA PETITE MAISONLONDON W1KVIS","cafes_and_restaurants",1,20,2,2017,-126.06,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4027,"CASA BRINDISALONDON SW7VIS","cafes_and_restaurants",1,20,2,2017,-66.94,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4028,"TONI & GUY SOUTH KLONDON SW7 3DVIS","uncategorized",1,20,2,2017,-178.9,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4029,"LE PAIN QUOTIDIENLONDON SW7)))","cafes_and_restaurants",1,20,2,2017,-3.9,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4030,"CODA RESTAURANTLONDON)))","cafes_and_restaurants",1,20,2,2017,-22.5,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4031,"PAUL UK SOUTH KENSLONDON)))","cafes_and_restaurants",1,20,2,2017,-8.55,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4032,"MORGAN STANLEYCANARY WHARFVIS","education",1,20,2,2017,-50,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4033,"TESCO STORES 6109GREENFORDVIS","groceries",1,20,2,2017,-66.97,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4034,"ITSU 005 JUBILEE PLONDON E14)))","parking",2,21,2,2017,-5.48,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4035,"MARKS&SPENCER PLCCANARY WHARF)))","shopping",2,21,2,2017,-15.1,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4036,"SEQUEIRA DE FREIKARAOKECR","uncategorized",3,22,2,2017,16,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4037,"ITSU 005 JUBILEE PLONDON E14)))","parking",3,22,2,2017,-8.98,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4038,"MARKS&SPENCER PLCCANARY WHARF)))","shopping",3,22,2,2017,-27.65,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4039,"SEAMLESS UK08082347862VIS","food_and_dining",3,22,2,2017,-2.5,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4040,"TUOMAS SANTERI TOIKARAOKECR","uncategorized",4,23,2,2017,16,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4041,"MORGAN STANLEYCANARY WHARFVIS","education",4,23,2,2017,-50,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4042,"ADVICE CONFIRMSGBC230278Y4ZMU81MORGAN STANLEY ANDCR","transfer",4,23,2,2017,10,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4043,"OBICALONDON E14)))","cafes_and_restaurants",5,24,2,2017,-23.63,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4044,"MARKS&SPENCER PLCCANARY WHARF)))","shopping",5,24,2,2017,-19.26,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4045,"PAUL UKLONDON)))","cafes_and_restaurants",5,24,2,2017,-13.25,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4046,"ADVICE CONFIRMSGBC24027HE52YU4GMORGAN STANLEY ANDCR","transfer",5,24,2,2017,30,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4047,"MARTA MARIA CARDOSKARAOKE MARTACR","uncategorized",5,24,2,2017,16,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4048,"MORGAN STANLEY UKCR","cafes_and_restaurants",5,24,2,2017,3076.76,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4049,"VENCHI UKLONDON SW7)))","uncategorized",1,27,2,2017,-5.5,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4050,"LE PAIN QUOTIDIENLONDON SW7)))","cafes_and_restaurants",1,27,2,2017,-1.95,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4051,"CLERKENWELL GRINDLONDON EC1V 9)))","service_and_parts",1,27,2,2017,-7.5,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4052,"CLERKENWELL GRINDLONDON EC1V 9)))","service_and_parts",1,27,2,2017,-24,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4053,"CLERKENWELL GRINDLONDON EC1V 9)))","service_and_parts",1,27,2,2017,-9.56,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4054,"BLANCHETTELONDON W1FVIS","cafes_and_restaurants",1,27,2,2017,-76.76,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4055,"WHOLE FOODS MARKETLONDONVIS","shopping",1,27,2,2017,-43.18,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4056,"EXPERIMENTAL COCKTLONDONVIS","uncategorized",1,27,2,2017,-5.06,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4057,"SEAMLESS UK08082347862VIS","food_and_dining",1,27,2,2017,-9.25,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4058,"MORGAN STANLEYCANARY WHARFVIS","education",1,27,2,2017,-50,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4059,"TESCO STORES 6109GREENFORDVIS","groceries",1,27,2,2017,-61.67,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4060,"OBICALONDON E14VIS","cafes_and_restaurants",1,27,2,2017,-20,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4061,"400410 41792520INTERNET TRANSFERTFR","transfer",1,27,2,2017,-1537,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4062,"MARKS&SPENCER PLCCANARY WHARF)))","shopping",2,28,2,2017,-23.75,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4063,"CAMBIO DE TERCIOLONDON SW5VIS","alcohol_and_bars",2,28,2,2017,-75,"GBP","normal",418332,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4064,"FANTASTIC SERVICES442034045679VIS","food_and_dining",1,13,2,2017,-38.5,"GBP","normal",418333,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4065,"BT GROUP PLCDD","service_and_parts",2,14,2,2017,-43.99,"GBP","normal",418333,"T/QwDnxyE3IVCwu7ncJqoQ==",1
4066,"FANTASTIC SERVICES442034045679VIS","food_and_dining",1,20,2,2017,-38.5,"GBP","normal",418333,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4067,"FANTASTIC SERVICES442034045679VIS","food_and_dining",1,27,2,2017,-38.5,"GBP","normal",418333,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4068,"400410 01794094INTERNET TRANSFERTFR","transfer",1,27,2,2017,1537,"GBP","normal",418333,"T/QwDnxyE3IVCwu7ncJqoQ==",0
4069,"AMT COFFEE","service_and_parts",2,28,2,2017,-1.71,"GBP","normal",358225,"+/ea9cHVoML8/1Xr9v2xtA==",0
4070,"BYRON HAMBURGERS","cafes_and_restaurants",2,28,2,2017,-16.5,"GBP","normal",358225,"+/ea9cHVoML8/1Xr9v2xtA==",0
4071,"M&S SIMPLY FOOD -","groceries",2,28,2,2017,-5.4,"GBP","normal",358225,"+/ea9cHVoML8/1Xr9v2xtA==",0
4072,"PAYMENT RECEIVED - THANK YOU","transfer",2,28,2,2017,1283.23,"GBP","normal",353889,"nefCrXxOvDZaoLjNvkBchQ==",0
4073,"EQUINOX RE LTD","personal_care",3,1,2,2017,-1127,"GBP","normal",425169,"crSxjjXkbXT5kl2U2PYOOw==",0
4074,"Spotify P019B07F13 CD 8218","movies_and_music",4,2,2,2017,-14.99,"GBP","normal",425169,"crSxjjXkbXT5kl2U2PYOOw==",1
4075,"NON-STG PURCH FEE CD 8218","provider_fee",4,2,2,2017,-1,"GBP","normal",425169,"crSxjjXkbXT5kl2U2PYOOw==",0
4076,"NON-STG TRANS FEE 2.99% CD 8218","provider_fee",4,2,2,2017,-0.17,"GBP","normal",425169,"crSxjjXkbXT5kl2U2PYOOw==",0
4077,"SBYRNE@PATREON.COM US 07.20 VISAXR 1.25436 CD 8218","entertainment",4,2,2,2017,-5.74,"GBP","normal",425169,"crSxjjXkbXT5kl2U2PYOOw==",1
4078,"LAFATA LTD","transfer",5,3,2,2017,1034.36,"GBP","transfer",425169,"crSxjjXkbXT5kl2U2PYOOw==",0
4079,"AMERICAN EXPRESS CD 7828","transfer",1,6,2,2017,-985.28,"GBP","normal",425169,"crSxjjXkbXT5kl2U2PYOOw==",0
4080,"H3G 971084818601020217","phone",1,6,2,2017,-20.06,"GBP","normal",425169,"crSxjjXkbXT5kl2U2PYOOw==",1
4081,"C LOISEAU 05FEB17 309072 22066068","transfer",1,6,2,2017,-600,"GBP","transfer",425169,"crSxjjXkbXT5kl2U2PYOOw==",0
4082,"M MARGOT COURSES FEB","transfer",2,7,2,2017,4.59,"GBP","transfer",425169,"crSxjjXkbXT5kl2U2PYOOw==",0
4083,"C CARDINALI COURSES ET PQ","transfer",2,7,2,2017,4.59,"GBP","transfer",425169,"crSxjjXkbXT5kl2U2PYOOw==",0
4084,"TIGER CD 7828","shopping",3,8,2,2017,-5,"GBP","normal",425169,"crSxjjXkbXT5kl2U2PYOOw==",0
4085,"ITHAKA FOOD CULTUR CD 8218","uncategorized",5,10,2,2017,-6.4,"GBP","normal",425169,"crSxjjXkbXT5kl2U2PYOOw==",0
4086,"LNK TESCO ST KAT D CD 8218 10FEB17","groceries",5,10,2,2017,-20,"GBP","normal",425169,"crSxjjXkbXT5kl2U2PYOOw==",0
4087,"LNK ST KATHERINE D CD 8218 24FEB17","transfer",5,24,2,2017,-20,"GBP","normal",425169,"crSxjjXkbXT5kl2U2PYOOw==",0
4088,"MOBILLIT BCA FEB17 MOBILLITY 835644109421822001","shopping",2,28,2,2017,1543.6,"GBP","normal",425169,"crSxjjXkbXT5kl2U2PYOOw==",0
4089,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",3,1,2,2017,-4.8,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4090,"PRET A MANGER - 387 LONDON","cafes_and_restaurants",4,2,2,2017,-4.24,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4091,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",4,2,2,2017,-4.8,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4092,"BENUGO LTD - INTERNATIO LONDON","shopping",5,3,2,2017,-6.6,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4093,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",5,3,2,2017,-6.6,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4094,"ITUNES.COM/BILL LUXEMBOURG","electronics_and_software",5,3,2,2017,-4.98,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4095,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",7,5,2,2017,-1.5,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4096,"INTEREST CHARGE","loans",7,5,2,2017,-16.06,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4097,"BOOTS THE CHEMIST LONDON","pharmacy",7,5,2,2017,-4.99,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4098,"COSTA COFFEE LONDON","alcohol_and_bars",1,6,2,2017,-3.65,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4099,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",1,6,2,2017,-7.7,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4100,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",2,7,2,2017,-4.8,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4101,"LE PAIN QUOTIDIEN LONDON","cafes_and_restaurants",2,7,2,2017,-1.95,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4102,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",3,8,2,2017,-4.8,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4103,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",4,9,2,2017,-6.6,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4104,"LE PAIN QUOTIDIEN LONDON","cafes_and_restaurants",4,9,2,2017,-1.95,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4105,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",5,10,2,2017,-6.6,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4106,"CARAFFINI LONDON","cafes_and_restaurants",6,11,2,2017,-46,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4107,"WRIGHT BROTHERS OYSTER LONDON","food_and_dining",6,11,2,2017,-23,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4108,"ITUNES.COM/BILL LUXEMBOURG","electronics_and_software",7,12,2,2017,-4.98,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4109,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",1,13,2,2017,-6.6,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4110,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",2,14,2,2017,-4.8,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4111,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",3,15,2,2017,-4.8,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4112,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",4,16,2,2017,-4.8,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4113,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",5,17,2,2017,-7.7,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4114,"BAR SHU RESTAURANT LTD LONDON","cafes_and_restaurants",5,17,2,2017,-55,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4115,"UBER *GB FEB18 J5L6Q HELP.UBER.COM","taxi",6,18,2,2017,-7.45,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4116,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",1,20,2,2017,-4.8,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4117,"TFL TRAVEL REFUND TFL.GOV.UK/CP","public_transportation",1,20,2,2017,2.9,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4118,"LE PAIN QUOTIDIEN LONDON","cafes_and_restaurants",1,20,2,2017,-1.95,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4119,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",2,21,2,2017,-6.6,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4120,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",3,22,2,2017,-6.6,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4121,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",4,23,2,2017,-4.8,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4122,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",5,24,2,2017,-6.6,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4123,"TFL TRAVEL CHARGE TFL.GOV.UK/CP","public_transportation",7,26,2,2017,-3.6,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4124,"PAYMENT RECEIVED - THANK YOU","transfer",2,28,2,2017,1283.23,"GBP","normal",425215,"DIT/zyfMSZHxzsFYWiTaVQ==",0
4125,"TESCO STORES 2325","groceries",5,3,2,2017,-4.78,"GBP","normal",426536,"MGFHixWWBI/euzxcCoKpYw==",0
4126,"XIN LU","food_and_dining",5,3,2,2017,-6.23,"GBP","normal",426536,"MGFHixWWBI/euzxcCoKpYw==",0
4127,"TESCO STORES 2325","groceries",6,4,2,2017,-17.18,"GBP","normal",426536,"MGFHixWWBI/euzxcCoKpYw==",0
4128,"TESCO STORES 2325","groceries",6,4,2,2017,-4.02,"GBP","normal",426536,"MGFHixWWBI/euzxcCoKpYw==",0
4129,"LU X","uncategorized",1,6,2,2017,5.73,"GBP","normal",426536,"MGFHixWWBI/euzxcCoKpYw==",0
4130,"LU X","uncategorized",1,6,2,2017,2.71,"GBP","normal",426536,"MGFHixWWBI/euzxcCoKpYw==",0
4131,"TESCO STORES 2325","groceries",3,8,2,2017,-12.14,"GBP","normal",426536,"MGFHixWWBI/euzxcCoKpYw==",0
